threads_num|width|time
8|4096|74.237816
8|4096|76.497965
8|4096|75.681359
16|4096|230.400292
16|4096|225.128888
16|4096|235.516124
16|4096|218.649972
16|4096|234.666949
16|4096|229.836897
16|4096|215.317359
16|4096|227.795009
16|4096|251.248177
16|4096|215.345564
32|4096|534.824696
32|4096|460.144307
32|4096|288.734522
32|4096|285.639316
32|4096|332.343607
32|4096|266.176437
32|4096|585.968863
32|4096|332.681214
32|4096|314.870439
32|4096|350.573594
64|4096|1021.892244
64|4096|719.386237
64|4096|1341.415664
64|4096|1020.954809
64|4096|685.437707
64|4096|978.30655
64|4096|699.026781
64|4096|727.879367
64|4096|1181.821715
64|4096|721.922218
128|4096|1690.290599
128|4096|1798.209446
128|4096|1632.162802
128|4096|1943.549835
128|4096|2216.220636
128|4096|1651.509955
128|4096|1690.226062
128|4096|1723.127658
128|4096|1714.591179
128|4096|1908.925653
